time,temperature_2m,relative_humidity_2m,precipitation,city
2026-08-23 04:00:00,20.1,92,0.0,Bengaluru
2026-08-23 05:00:00,20.2,91,0.0,Bengaluru
2026-08-23 06:00:00,20.4,90,0.0,Bengaluru
2026-08-23 07:00:00,21.2,85,0.0,Bengaluru
2026-08-23 08:00:00,22.5,76,0.1,Bengaluru
2026-08-23 09:00:00,23.9,72,0.1,Bengaluru
2026-08-23 10:00:00,25.1,66,0.0,Bengaluru
2026-08-23 11:00:00,26.9,58,0.4,Bengaluru
2026-08-23 12:00:00,27.9,54,0.4,Bengaluru
2026-08-23 13:00:00,28.4,55,0.4,Bengaluru
2026-08-23 14:00:00,28.6,56,0.3,Bengaluru
2026-08-23 15:00:00,27.9,58,0.1,Bengaluru
2026-08-23 16:00:00,24.2,79,2.7,Bengaluru
2026-08-23 17:00:00,23.8,81,0.2,Bengaluru
2026-08-23 18:00:00,21.7,91,1.2,Bengaluru
2026-08-23 19:00:00,21.5,93,0.7,Bengaluru
2026-08-23 20:00:00,21.6,92,0.1,Bengaluru
2026-08-23 21:00:00,21.4,92,0.0,Bengaluru
2026-08-23 22:00:00,21.0,93,0.0,Bengaluru
2026-08-23 23:00:00,20.5,94,0.0,Bengaluru
2026-08-24 00:00:00,20.1,95,0.0,Bengaluru
2026-08-24 01:00:00,20.0,94,0.0,Bengaluru
2026-08-24 02:00:00,20.2,92,0.0,Bengaluru
2026-08-24 03:00:00,20.6,90,0.0,Bengaluru
2026-08-24 04:00:00,20.6,91,0.0,Bengaluru
2026-08-24 05:00:00,20.5,91,0.0,Bengaluru
2026-08-24 06:00:00,21.1,88,0.1,Bengaluru
2026-08-24 07:00:00,21.9,84,0.1,Bengaluru
2026-08-24 08:00:00,22.8,79,0.1,Bengaluru
2026-08-24 09:00:00,23.9,73,0.1,Bengaluru
2026-08-24 10:00:00,25.2,67,0.1,Bengaluru
2026-08-24 11:00:00,26.3,62,0.1,Bengaluru
2026-08-24 12:00:00,27.4,59,0.2,Bengaluru
